lambda_um,n,k,material,source
4.37,1.37374298,0,SiO2,Malitson 1965; Tan 1998
4.38,1.37329127,0,SiO2,Malitson 1965; Tan 1998
4.39,1.37283738,0,SiO2,Malitson 1965; Tan 1998
4.4,1.3723813,0,SiO2,Malitson 1965; Tan 1998
4.41,1.37192301,0,SiO2,Malitson 1965; Tan 1998
4.42,1.3714625,0,SiO2,Malitson 1965; Tan 1998
4.43,1.37099976,0,SiO2,Malitson 1965; Tan 1998
4.44,1.37053477,0,SiO2,Malitson 1965; Tan 1998
4.45,1.37006752,0,SiO2,Malitson 1965; Tan 1998
4.46,1.369598,0,SiO2,Malitson 1965; Tan 1998
4.47,1.3691262,0,SiO2,Malitson 1965; Tan 1998
4.48,1.3686521,0,SiO2,Malitson 1965; Tan 1998
4.49,1.36817569,0,SiO2,Malitson 1965; Tan 1998
4.5,1.36769695,0,SiO2,Malitson 1965; Tan 1998
4.51,1.36721587,0,SiO2,Malitson 1965; Tan 1998
4.52,1.36673244,0,SiO2,Malitson 1965; Tan 1998
4.53,1.36624665,0,SiO2,Malitson 1965; Tan 1998
4.54,1.36575847,0,SiO2,Malitson 1965; Tan 1998
4.55,1.3652679,0,SiO2,Malitson 1965; Tan 1998
